https://schema.org/name,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/url,https://schema.org/isBasedOnUrl
飯田 哲,Code for Japan フェロー,OpenStreetMap Foundation Japan 副理事,,,,https://www.code4japan.org/news/fellow-start
榎本 真美,Code for Japan フェロー,ライタソン合同会社,Code for CAT,,,https://www.code4japan.org/news/fellow-start
太田垣 恭子,Code for Japan フェロー,ANNAI 株式会社 代表取締役副社長,Code for Kyoto,,https://twitter.com/kyoko_oh,https://www.code4japan.org/news/fellow-start
小副川 健,Code for Japan フェロー,"株式会社ユーザベース B2B SaaS事業 Fellow, SPEEDA Chief Data Scientist",Code for CAT,,,https://www.code4japan.org/news/fellow-start
小俣 博司,Code for Japan フェロー,東京大学空間情報科学研究センター 特任研究員,オープン川崎,一般社団法人 シビックテックジャパン,,https://www.code4japan.org/news/fellow-start
佐藤 拓也,Code for Japan フェロー,YuMake合同会社 CEO,Code for Ikoma,,,https://www.code4japan.org/news/fellow-start
柴田 重臣,Code for Japan フェロー,東京大学空間情報科学研究センター 特任研究員,Code for Ibaraki,,,https://www.code4japan.org/news/fellow-start
下山 紗代子,Code for Japan フェロー,一般社団法人リンクデータ 代表理事,Code for YOKOHAMA,,https://twitter.com/shishamous,https://www.code4japan.org/news/fellow-start
白川 展之,Code for Japan フェロー,新潟大学 人文社会科学系・工学部協創経営プログラム 准教授,,,,https://www.code4japan.org/news/fellow-start
瀬戸 寿一,Code for Japan フェロー,駒澤大学文学部地理学科 准教授,OSGeo Foundation Charter Member,,https://twitter.com/tosseto,https://www.code4japan.org/news/fellow-start
高木 祐介,Code for Japan フェロー,自動処理株式会社 代表取締役社長,Code for Toshima,,,https://www.code4japan.org/news/fellow-start
肥田野 正輝,Code for Japan フェロー,インフォ・ラウンジ株式会社 代表取締役社長,Code for YOKOHAMA,,,https://www.code4japan.org/news/fellow-start
福野 泰介,Code for Japan フェロー,株式会社jig.jp 創業者＆会長,Code for Sabae,,https://twitter.com/taisukef,https://www.code4japan.org/news/fellow-start
藤井 靖史,Code for Japan フェロー,西会津町CDO,CODE for AIZU,,,https://www.code4japan.org/news/fellow-start
古川 泰人,Code for Japan フェロー,MIERUNE Inc. 取締役,Code for Sapporo ,,,https://www.code4japan.org/news/fellow-start
矢崎 裕一,Code for Japan フェロー,データ・ビジュアライゼーション・ジャパン 発起人,Code for Tokyo,,https://twitter.com/yuichy02,https://www.code4japan.org/news/fellow-start
